Skjerm,Skjermnøkkel,Område,Rute,Review-ID,Wireframe-rammer,Skjermbilde,Status,Versjon,Reviewdato,Prototype,Skjermbilde URL
Onboarding,ONBOARDING,Kom i gang,#/onboarding,F01,F01,screens/phase-1b-F01-onboarding.png,Klar for review,1B.1 Botanical,2026-08-01,https://twainconsulting.github.io/florir-prototype-review/#/onboarding,https://twainconsulting.github.io/florir-prototype-review/screens/phase-1b-F01-onboarding.png
Hjem,HJEM,Hjem,#/hjem,F02,F02,screens/phase-1b-F02-hjem.png,Klar for review,1B.1 Botanical,2026-08-01,https://twainconsulting.github.io/florir-prototype-review/#/hjem,https://twainconsulting.github.io/florir-prototype-review/screens/phase-1b-F02-hjem.png
Moduler,LARING-MODULER,Læring,#/moduler,F04,F04,screens/phase-1b-F04-moduler.png,Klar for review,1B.1 Botanical,2026-08-01,https://twainconsulting.github.io/florir-prototype-review/#/moduler,https://twainconsulting.github.io/florir-prototype-review/screens/phase-1b-F04-moduler.png
Videoleksjon,LARING-VIDEO,Læring,#/video,F05,F05,screens/phase-1b-F05-video.png,Klar for review,1B.1 Botanical,2026-08-01,https://twainconsulting.github.io/florir-prototype-review/#/video,https://twainconsulting.github.io/florir-prototype-review/screens/phase-1b-F05-video.png
Refleksjon,LARING-REFLEKSJON,Læring,#/refleksjon,F06,F06,screens/phase-1b-F06-refleksjon.png,Klar for review,1B.1 Botanical,2026-08-01,https://twainconsulting.github.io/florir-prototype-review/#/refleksjon,https://twainconsulting.github.io/florir-prototype-review/screens/phase-1b-F06-refleksjon.png
Mat,MAT-HJEM,Mat,#/oppskrifter,F07,F07–F09,screens/phase-1b-F07-mat.png,Klar for review,1B.1 Botanical,2026-08-01,https://twainconsulting.github.io/florir-prototype-review/#/oppskrifter,https://twainconsulting.github.io/florir-prototype-review/screens/phase-1b-F07-mat.png
Oppskriftsbibliotek,MAT-BIBLIOTEK,Mat,#/oppskriftsliste,F07b,F10–F13,screens/phase-1b-F07b-oppskriftsliste.png,Klar for review,1B.1 Botanical,2026-08-01,https://twainconsulting.github.io/florir-prototype-review/#/oppskriftsliste,https://twainconsulting.github.io/florir-prototype-review/screens/phase-1b-F07b-oppskriftsliste.png
Meg,MEG-HJEM,Meg,#/meg,F08,F25–F26,screens/phase-1b-F08-meg.png,Klar for review,1B.1 Botanical,2026-08-01,https://twainconsulting.github.io/florir-prototype-review/#/meg,https://twainconsulting.github.io/florir-prototype-review/screens/phase-1b-F08-meg.png
Hjelp,HJELP,Hjelp,#/hjelp,F09,F27–F28,screens/phase-1b-F09-hjelp.png,Klar for review,1B.1 Botanical,2026-08-01,https://twainconsulting.github.io/florir-prototype-review/#/hjelp,https://twainconsulting.github.io/florir-prototype-review/screens/phase-1b-F09-hjelp.png
Innstillinger,INNSTILLINGER,Meg,#/innstillinger,F10,F33,screens/phase-1b-F10-innstillinger.png,Klar for review,1B.1 Botanical,2026-08-01,https://twainconsulting.github.io/florir-prototype-review/#/innstillinger,https://twainconsulting.github.io/florir-prototype-review/screens/phase-1b-F10-innstillinger.png
Tilbakeblikk,TILBAKEBLIKK,Meg,#/tilbakeblikk,F11,F29,screens/phase-1b-F11-tilbakeblikk.png,Klar for review,1B.1 Botanical,2026-08-01,https://twainconsulting.github.io/florir-prototype-review/#/tilbakeblikk,https://twainconsulting.github.io/florir-prototype-review/screens/phase-1b-F11-tilbakeblikk.png
